==182783== NVPROF is profiling process 182783, command: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Profiling application: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Warning: 2 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==182783== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.18949s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0046000  [Unified Memory CPU page faults]
1.18959s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0047000  [Unified Memory CPU page faults]
1.18969s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0048000  [Unified Memory CPU page faults]
1.18980s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0049000  [Unified Memory CPU page faults]
1.18990s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004a000  [Unified Memory CPU page faults]
1.19000s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004b000  [Unified Memory CPU page faults]
1.19010s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004c000  [Unified Memory CPU page faults]
1.19021s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004d000  [Unified Memory CPU page faults]
1.19031s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004e000  [Unified Memory CPU page faults]
1.19041s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc004f000  [Unified Memory CPU page faults]
1.19052s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0050000  [Unified Memory CPU page faults]
1.19062s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0051000  [Unified Memory CPU page faults]
1.19072s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0052000  [Unified Memory CPU page faults]
1.19083s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0053000  [Unified Memory CPU page faults]
1.19093s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0054000  [Unified Memory CPU page faults]
1.19103s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0055000  [Unified Memory CPU page faults]
1.19114s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0056000  [Unified Memory CPU page faults]
1.19124s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0057000  [Unified Memory CPU page faults]
1.19134s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0058000  [Unified Memory CPU page faults]
1.19145s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0059000  [Unified Memory CPU page faults]
1.19155s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005a000  [Unified Memory CPU page faults]
1.19165s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005b000  [Unified Memory CPU page faults]
1.19176s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005c000  [Unified Memory CPU page faults]
1.19186s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005d000  [Unified Memory CPU page faults]
1.19197s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005e000  [Unified Memory CPU page faults]
1.19207s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc005f000  [Unified Memory CPU page faults]
1.19217s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0060000  [Unified Memory CPU page faults]
1.19228s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0061000  [Unified Memory CPU page faults]
1.19238s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0062000  [Unified Memory CPU page faults]
1.19248s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0063000  [Unified Memory CPU page faults]
1.19259s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0064000  [Unified Memory CPU page faults]
1.19269s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0065000  [Unified Memory CPU page faults]
1.19279s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0066000  [Unified Memory CPU page faults]
1.19290s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0067000  [Unified Memory CPU page faults]
1.19300s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0068000  [Unified Memory CPU page faults]
1.19310s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0069000  [Unified Memory CPU page faults]
1.19321s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006a000  [Unified Memory CPU page faults]
1.19331s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006b000  [Unified Memory CPU page faults]
1.19341s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006c000  [Unified Memory CPU page faults]
1.19352s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006d000  [Unified Memory CPU page faults]
1.19362s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006e000  [Unified Memory CPU page faults]
1.19372s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc006f000  [Unified Memory CPU page faults]
1.19382s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0070000  [Unified Memory CPU page faults]
1.19393s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0071000  [Unified Memory CPU page faults]
1.19403s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0072000  [Unified Memory CPU page faults]
1.19413s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0073000  [Unified Memory CPU page faults]
1.19424s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0074000  [Unified Memory CPU page faults]
1.19434s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0075000  [Unified Memory CPU page faults]
1.19445s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0076000  [Unified Memory CPU page faults]
1.19455s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0077000  [Unified Memory CPU page faults]
1.19465s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0078000  [Unified Memory CPU page faults]
1.19476s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0079000  [Unified Memory CPU page faults]
1.19486s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007a000  [Unified Memory CPU page faults]
1.19496s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007b000  [Unified Memory CPU page faults]
1.19507s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007c000  [Unified Memory CPU page faults]
1.19517s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007d000  [Unified Memory CPU page faults]
1.19527s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007e000  [Unified Memory CPU page faults]
1.19538s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc007f000  [Unified Memory CPU page faults]
1.19553s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0200000  [Unified Memory CPU page faults]
1.19910s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0210000  [Unified Memory CPU page faults]
1.20267s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0220000  [Unified Memory CPU page faults]
1.20979s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0240000  [Unified Memory CPU page faults]
1.22401s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0280000  [Unified Memory CPU page faults]
1.25243s         -                    -               -         -         -         -                -         -         -           PC 0x403632   0x7f8cc0300000  [Unified Memory CPU page faults]
1.28140s  398.85us                    -               -         -         -         -     TITAN Xp (0)         -         -                    49   0x7f8cc0080000  [Unified Memory GPU page faults]
1.28174s  5.7920us                    -               -         -         -         -     TITAN Xp (0)         -         -           48.000000KB   0x7f8cc0080000  [Unified Memory Memcpy HtoD]
1.28175s  2.6240us                    -               -         -         -         -     TITAN Xp (0)         -         -           16.000000KB   0x7f8cc008c000  [Unified Memory Memcpy HtoD]
1.28180s  38.880us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0000000  [Unified Memory GPU page faults]
1.28183s  1.9520us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0000000  [Unified Memory Memcpy HtoD]
1.28183s  6.4960us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0001000  [Unified Memory Memcpy HtoD]
1.28184s  54.720us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0200000  [Unified Memory GPU page faults]
1.28188s  1.7280us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0200000  [Unified Memory Memcpy HtoD]
1.28189s  6.4640us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0201000  [Unified Memory Memcpy HtoD]
1.28190s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0381000  [Unified Memory CPU page faults]
1.28190s  31.616us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc00a3000  [Unified Memory GPU page faults]
1.28192s  2.5920us                    -               -         -         -         -     TITAN Xp (0)         -         -           12.000000KB   0x7f8cc00a0000  [Unified Memory Memcpy HtoD]
1.28192s  1.0240us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc00a3000  [Unified Memory Memcpy HtoD]
1.28192s  5.3440us                    -               -         -         -         -     TITAN Xp (0)         -         -           48.000000KB   0x7f8cc00a4000  [Unified Memory Memcpy HtoD]
1.28193s  28.064us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0380000  [Unified Memory GPU page faults]
1.28195s  1.6320us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory Memcpy HtoD]
1.28195s  6.7520us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0381000  [Unified Memory Memcpy HtoD]
1.28196s  50.816us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0093000  [Unified Memory GPU page faults]
1.28199s  2.6240us                    -               -         -         -         -     TITAN Xp (0)         -         -           12.000000KB   0x7f8cc0090000  [Unified Memory Memcpy HtoD]
1.28199s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0093000  [Unified Memory Memcpy HtoD]
1.28199s  5.5040us                    -               -         -         -         -     TITAN Xp (0)         -         -           48.000000KB   0x7f8cc0094000  [Unified Memory Memcpy HtoD]
1.28200s  6.9120us                    -               -         -         -         -     TITAN Xp (0)         -         -           64.000000KB   0x7f8cc00b0000  [Unified Memory Memcpy HtoD]
1.28201s  88.736us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0200000  [Unified Memory GPU page faults]
1.28203s  5.6960us                    -               -         -         -         -     TITAN Xp (0)         -         -           64.000000KB   0x7f8cc0200000  [Unified Memory Memcpy DtoH]
1.28204s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory Memcpy DtoH]
1.28204s  1.0240us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0381000  [Unified Memory Memcpy DtoH]
1.28204s  4.9600us                    -               -         -         -         -     TITAN Xp (0)         -         -           56.000000KB   0x7f8cc0382000  [Unified Memory Memcpy DtoH]
1.28207s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0381000  [Unified Memory CPU page faults]
1.28209s  1.6320us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0200000  [Unified Memory Memcpy HtoD]
1.28209s  6.5920us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0201000  [Unified Memory Memcpy HtoD]
1.28210s  29.280us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0380000  [Unified Memory GPU page faults]
1.28212s  1.6960us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory Memcpy HtoD]
1.28212s  6.4320us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0381000  [Unified Memory Memcpy HtoD]
1.28213s  52.512us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc03be000  [Unified Memory GPU page faults]
1.28214s  5.6640us                    -               -         -         -         -     TITAN Xp (0)         -         -           64.000000KB   0x7f8cc0200000  [Unified Memory Memcpy DtoH]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0200000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0201000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0202000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0203000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0204000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0205000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0206000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0207000  [Unified Memory page thrash]
1.28214s     992ns                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory Memcpy DtoH]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0208000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0209000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020a000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020b000  [Unified Memory page thrash]
1.28214s     928ns                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0381000  [Unified Memory Memcpy DtoH]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020c000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020d000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020e000  [Unified Memory page thrash]
1.28214s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc020f000  [Unified Memory page thrash]
1.28214s  4.9280us                    -               -         -         -         -     TITAN Xp (0)         -         -           56.000000KB   0x7f8cc0382000  [Unified Memory Memcpy DtoH]
1.28217s  6.5600us                    -               -         -         -         -     TITAN Xp (0)         -         -           56.000000KB   0x7f8cc03b0000  [Unified Memory Memcpy HtoD]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0381000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0382000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0383000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0384000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0385000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0386000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0387000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0388000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc0389000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038a000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038b000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038c000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038d000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038e000  [Unified Memory page thrash]
1.28217s         -                    -               -         -         -         -  CPU, TITAN Xp (         -         -            4.000000KB   0x7f8cc038f000  [Unified Memory page thrash]
1.28217s  1.1200us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc03be000  [Unified Memory Memcpy HtoD]
1.28218s     992ns                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc03bf000  [Unified Memory Memcpy HtoD]
1.28218s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0381000  [Unified Memory CPU page faults]
1.28218s  30.976us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0200000  [Unified Memory GPU page faults]
